ID,station,lat,lon,stad,benaming,school,sponsor
jvy7zdAPZ5ymI2hydh6tvnmm,vlinder01,50.980438,3.815763,Melle,Proefhoeve,UGent,Universiteit Gent
zZ6ZeSg11dJ5zp5GrNwNck9A,vlinder02,51.022379,3.709695,Gent,Sterre,UGent,Universiteit Gent
VDwYVFKNaGF0YpQtM4xe3Ic5,vlinder03,51.324583,4.952109,Turnhout,Centrum,Heilig Graf,Stad Turnhout
vqYF3lib7K3re0Zc38ZCzlom,vlinder04,51.335522,4.934732,Turnhout,Stadsboerderij,Heilig Graf,Stad Turnhout
2kfOFUtZ5wZEEpM6xbL42aFM,vlinder05,51.049095,3.7258,Gent,Ketelvest,Sint-Barbara,UGent Volkssterrenwacht Armand Pien
0xwg6AsDvbnxXzB4S3c2BRyJ,vlinder06,51.0271,4.5163,Bonheiden,Mechels Broek,BimSem,Stad Mechelen
3hG2KPxxvlPVDjDIlEkbS7A5,vlinder07,51.030889,4.478445,Mechelen,Noord,PTS,Stad Mechelen
h2Nl284RotYblunrLM8m6KtO,vlinder08,51.02813,4.477398,Mechelen,De Lindepoort,TSM,Stad Mechelen
hA49FTkzXFZBSPq1cu6l4J5b,vlinder09,50.927167,4.075722,Aalst,Heuvelpark,SMI,SOLVA
11eLa6DbyiHBWFT1FxHzTMII,vlinder10,50.935556,4.041389,Aalst,Centrum,SMI,SOLVA
SMivapZavheUAoe0thH2d22U,vlinder11,51.222422,4.381726,Antwerpen,Linkeroever,Sint-Annacollege,Stad Antwerpen
RyLeKizFOca8R95PJ9Ed9MPQ,vlinder12,51.216477,4.42344,Antwerpen,Zoo,UGent,ZOO Antwerpen
ezxlxqTCtJb6ChsNwO3GwAe8,vlinder13,51.212211,4.398065,Antwerpen,Inst. Trop. Geneeskunde,UGent,Stad Antwerpen
QDpOI8z0Avo55bojIzbom6l5,vlinder14,51.350618,4.315013,Antwerpen,Zandvliet,UGent,EnerSys
iASUcbCWYglQzIdyQnALsTTT,vlinder15,50.9353,4.1926,Asse,Koereit,Sint-Martinus,AllThingsTalk
DOo1XWMfhmleI0M9jlkOf1Wt,vlinder16,51.26685,4.293436,Beveren,Haven,Sint-Maarten,Katoen Natie
eTuhBpgua9VVEqANPehNrR7g,vlinder17,51.0652694,5.6134583,Oudsbergen,Oudsberg,Sint-Augustinusinstituut Bree,Nationaal Park Hoge Kempen
Tw2SbKEtwIHD5OVf23zfKvfO,vlinder18,51.136244,5.656769,Bree,Tongerlo,TISM Bree,Stad Bree
xgRUxj1N6DiRKzekQqI4Z5Ns,vlinder19,50.841455,4.363672,Brussel,Koninklijk Paleis,UGent,
Ziocm4OqUjrp7W9988artyfN,vlinder20,50.847025,4.357971,Brussel,Kathedraal,UGent,Vivaqua
